Name,Price,Type,Inspiration Category,Product URL
Ky'el® the Anthro-Feline ,70.0,insertable,Anthro / Animal,https://bad-dragon.com/products/kyel
Chance the Flared Stallion®,90.0,insertable,Anthro / Animal,https://bad-dragon.com/products/chanceflared
Flint® the Uncut Studded Dragon,70.0,insertable,Mythological,https://bad-dragon.com/products/flint
Krampus the Satyr™,90.0,insertable,Mythological,https://bad-dragon.com/products/krampus
Chico Lil' Squirt®,45.0,shooter,Accessory / Non-toy,https://bad-dragon.com/products/chico
Valentino the King of Hearts™,70.0,insertable,Anthro / Animal,https://bad-dragon.com/products/valentino
Sugar Star the Pony,110.0,penetrable,Anthro / Animal,https://bad-dragon.com/products/sugarstar
Tako® the Tentacle,70.0,insertable,Tentacle / Alien,https://bad-dragon.com/products/tako
Fusion Lil' Squirt,45.0,shooter,Accessory / Non-toy,https://bad-dragon.com/products/lilfusion
Mystic® the Unicorn,70.0,insertable,Mythological,https://bad-dragon.com/products/mystic
Razor The Doberman®,70.0,insertable,Anthro / Animal,https://bad-dragon.com/products/razor
Sleipnir the Mythic Norse Stallion,70.0,insertable,Anthro / Animal,https://bad-dragon.com/products/sleipnir
Mystic the Unicorn Rideable,115.0,rideable,Mythological,https://bad-dragon.com/products/ridemystic
Janine's Muzzle®,110.0,penetrable,Other / Miscellaneous,https://bad-dragon.com/products/janinemuzzle
Hazel® the Werewolfess,110.0,penetrable,Other / Miscellaneous,https://bad-dragon.com/products/hazel
Orochi® Sheath,65.0,wearable,Other / Miscellaneous,https://bad-dragon.com/products/orochisheath
Egg Plug®,70.0,insertable,Mythological,https://bad-dragon.com/products/eggplug
Bumble Hooves the Ponycorn,70.0,insertable,Anthro / Animal,https://bad-dragon.com/products/bumblehooves
Janine® the Bad Dragoness,110.0,penetrable,Mythological,https://bad-dragon.com/products/janine
Chance's Sheath,75.0,wearable,Other / Miscellaneous,https://bad-dragon.com/products/chancesheath
Seadragon Lil' Squirt,45.0,shooter,Mythological,https://bad-dragon.com/products/lilseadragon
Demon Dick,70.0,insertable,Tentacle / Alien,https://bad-dragon.com/products/demondick
Roland the Rattleyote,70.0,insertable,Other / Miscellaneous,https://bad-dragon.com/products/roland
Amon the Wingless®,70.0,insertable,Anthro / Animal,https://bad-dragon.com/products/amon
Tempestt® the Storm Dragon,70.0,insertable,Mythological,https://bad-dragon.com/products/tempestt
Bo the Longma™,70.0,insertable,Mythological,https://bad-dragon.com/products/bo
Ika® the Tentacle Rideable,115.0,rideable,Tentacle / Alien,https://bad-dragon.com/products/rideika
David the Werewolf®,90.0,insertable,Other / Miscellaneous,https://bad-dragon.com/products/david
Hanzo the Oni Mask®,70.0,insertable,Tentacle / Alien,https://bad-dragon.com/products/hanzo
Echo the Snow Strider®,70.0,insertable,Other / Miscellaneous,https://bad-dragon.com/products/echo
Rex® the German Shepherd ,70.0,insertable,Anthro / Animal,https://bad-dragon.com/products/rex
Haiku® the River Dragon,70.0,insertable,Mythological,https://bad-dragon.com/products/haiku
Diego the Direwolf,70.0,insertable,Anthro / Animal,https://bad-dragon.com/products/diego
Candy the Mermaid®,110.0,penetrable,Other / Miscellaneous,https://bad-dragon.com/products/candy
Seraphina® the Pegasus ,70.0,insertable,Other / Miscellaneous,https://bad-dragon.com/products/seraphina
Winston's Tongue,90.0,insertable,Accessory / Non-toy,https://bad-dragon.com/products/winstonstongue
Ika® Sheath,65.0,wearable,Tentacle / Alien,https://bad-dragon.com/products/ikasheath
Bishop® the Synth,70.0,insertable,Other / Miscellaneous,https://bad-dragon.com/products/bishop
Archer™ (Cut),70.0,insertable,Other / Miscellaneous,https://bad-dragon.com/products/archercut
Sveinn® the Buck,70.0,insertable,Other / Miscellaneous,https://bad-dragon.com/products/sveinn
Nova the Breeder®,90.0,insertable,Mythological,https://bad-dragon.com/products/nova
Flint® Sheath,65.0,wearable,Other / Miscellaneous,https://bad-dragon.com/products/flintsheath
Marcel® the Werecroc,70.0,insertable,Other / Miscellaneous,https://bad-dragon.com/products/marcel
Ovipositor,129.0,insertable,Other / Miscellaneous,https://bad-dragon.com/products/ovipositor
Nocturne the Enderfang®,70.0,insertable,Tentacle / Alien,https://bad-dragon.com/products/nocturne
Night Drake Lil' Squirt,45.0,shooter,Accessory / Non-toy,https://bad-dragon.com/products/lilnightdrake
Chance the Unflared Stallion®,90.0,insertable,Anthro / Animal,https://bad-dragon.com/products/chanceunflared
Fenrir the Wolf Dragon®,70.0,insertable,Mythological,https://bad-dragon.com/products/fenrir
Magnus' Sheath,65.0,wearable,Other / Miscellaneous,https://bad-dragon.com/products/magnussheath
Nox the Night Drake®,90.0,insertable,Other / Miscellaneous,https://bad-dragon.com/products/nox
Vector® the Cyber-Unicorn,70.0,insertable,Mythological,https://bad-dragon.com/products/vector
Reggie the Mothman™,70.0,insertable,Tentacle / Alien,https://bad-dragon.com/products/reggie
Andre the Mammoth®,70.0,insertable,Other / Miscellaneous,https://bad-dragon.com/products/andre
Tucker the Equinine®,90.0,insertable,Other / Miscellaneous,https://bad-dragon.com/products/tucker
Abyss the Kaiju® King,70.0,insertable,Other / Miscellaneous,https://bad-dragon.com/products/abyss
Fiona's Muzzle®,110.0,penetrable,Mythological,https://bad-dragon.com/products/fiona
Crackers the Cockatrice®,70.0,insertable,Other / Miscellaneous,https://bad-dragon.com/products/crackers
Crackers' Sheath®,65.0,wearable,Other / Miscellaneous,https://bad-dragon.com/products/crackerssheath
Meng® the Chinese Dragon,70.0,insertable,Mythological,https://bad-dragon.com/products/meng
Orochi® the Dragon Kaiju Rideable,115.0,rideable,Mythological,https://bad-dragon.com/products/rideorochi
Austin the Fox®,70.0,insertable,Other / Miscellaneous,https://bad-dragon.com/products/austin
Stan the T. Rex®,70.0,insertable,Other / Miscellaneous,https://bad-dragon.com/products/stan
Aquadrax®,70.0,insertable,Other / Miscellaneous,https://bad-dragon.com/products/aquadrax
Kelvin the Ice Dragon®,90.0,insertable,Mythological,https://bad-dragon.com/products/kelvin
Kahn the Trolldragon®,70.0,insertable,Mythological,https://bad-dragon.com/products/kahn
David's Sheath®,65.0,wearable,Other / Miscellaneous,https://bad-dragon.com/products/davidsheath
Orochi® the Dragon Kaiju,70.0,insertable,Mythological,https://bad-dragon.com/products/orochi
Kragg the Rock Dragon™,70.0,insertable,Mythological,https://bad-dragon.com/products/kragg
Ika® the Tentacle,70.0,insertable,Tentacle / Alien,https://bad-dragon.com/products/ika
Vergil the Drippy Dragon,90.0,insertable,Mythological,https://bad-dragon.com/products/vergil
Nøkken the Hippocampus®,70.0,insertable,Other / Miscellaneous,https://bad-dragon.com/products/nokken
Duke the Bad Dragon®,70.0,insertable,Mythological,https://bad-dragon.com/products/duke
Duke's Muzzle,110.0,penetrable,Other / Miscellaneous,https://bad-dragon.com/products/dukemuzzle
David's Paw®,150.0,insertable,Other / Miscellaneous,https://bad-dragon.com/products/davidpaw
