Product Name,Price,Product URL
Peak™ Rechargeable Pump,$91.99,https://calexotics.comhttps://calexotics.com/peak-rechargeable-pump/
Pacifica™ Fiji,$56.99,https://calexotics.comhttps://calexotics.com/pacifica-fiji/
California Dreaming® Sunset Beach Seducer,$79.99,https://calexotics.comhttps://calexotics.com/california-dreaming-sunset-beach-seducer/
Mod™ Tilt,$56.99,https://calexotics.comhttps://calexotics.com/mod-tilt/
Optimum Power® Vibrating and Thrusting Stroker,$189.99,https://calexotics.comhttps://calexotics.com/optimum-power-vibrating-and-thrusting-stroker/
Dual Rider® Remote Control Thrust & Grind,$144.99,https://calexotics.comhttps://calexotics.com/dual-rider-remote-control-thrust-grind/
"Venus Butterfly® Silicone Remote Venus ""G""™",$76.99,https://calexotics.comhttps://calexotics.com/venus-butterfly-silicone-remote-venus-g/
CalExotics Connect® Venus Butterfly®,$76.99,https://calexotics.comhttps://calexotics.com/calexotics-connect-venus-butterfly/
Stroke It™ BBL Booty - Brown,$122.99,https://calexotics.comhttps://calexotics.com/stroke-it-bbl-booty-brown/
Inspire® Silicone Dilator Kit 5-Piece Set,$83.99,https://calexotics.comhttps://calexotics.com/inspire-silicone-dilator-kit-5-piece-set/
Eclipse® Thrusting Rotator Probe™,$78.99,https://calexotics.comhttps://calexotics.com/eclipse-thrusting-rotator-probe/
Stroke It™ BBL Booty - Ivory,$122.99,https://calexotics.comhttps://calexotics.com/stroke-it-bbl-booty-ivory/
Optimum Series® Advanced Automatic Smart Pump™,$166.99,https://calexotics.comhttps://calexotics.com/optimum-series-advanced-automatic-smart-pump/
CalExotics Connect® Panty Teaser,$70.99,https://calexotics.comhttps://calexotics.com/calexotics-connect-panty-teaser/
French Kiss™ Suck & Play Interchangeable Set,$63.99,https://calexotics.comhttps://calexotics.com/french-kiss-suck-play-interchangeable-set/
Optimum Series® Automatic Smart Pump™,$132.99,https://calexotics.comhttps://calexotics.com/optimum-series-automatic-smart-pump/
Boundless® Bed Restraint,$62.99,https://calexotics.comhttps://calexotics.com/boundless-bed-restraint/
Jack Rabbit® Signature Silicone Thrusting Rabbit,$138.99,https://calexotics.comhttps://calexotics.com/jack-rabbit-signature-silicone-thrusting-rabbit/
Jack Rabbit® Elite Thrusting Rabbit,$86.99,https://calexotics.comhttps://calexotics.com/jack-rabbit-elite-thrusting-rabbit/
Silicone Rechargeable Triple Clit Flicker,$43.99,https://calexotics.comhttps://calexotics.com/silicone-rechargeable-triple-clit-flicker/
Overdrive Remote Control Sex Machine Ridged Thruster,$127.99,https://calexotics.comhttps://calexotics.com/overdrive-remote-control-sex-machine-ridged-thruster/
Overdrive Remote Control Sex Machine Smooth Thruster,$127.99,https://calexotics.comhttps://calexotics.com/overdrive-remote-control-sex-machine-smooth-thruster/
Her Royal Harness® The Regal® Queen - Bronze,$80.99,https://calexotics.comhttps://calexotics.com/her-royal-harness-the-regal-queen-bronze/
Silicone Rechargeable Dual Rockin’ Rabbit® Enhancer,$43.99,https://calexotics.comhttps://calexotics.com/silicone-rechargeable-dual-rockin-rabbit-enhancer/
French Kiss™ Sweet Talker,$63.99,https://calexotics.comhttps://calexotics.com/french-kiss-sweet-talker/
Stroke It™ Life-size Ass - Ivory,$122.99,https://calexotics.comhttps://calexotics.com/stroke-it-life-size-ass/
California Dreaming® Orange County Cutie,$107.99,https://calexotics.comhttps://calexotics.com/california-dreaming-orange-county-cutie/
California Dreaming® L.A. Love,$129.99,https://calexotics.comhttps://calexotics.com/california-dreaming-l-a-love/
CalExotics Connect® Kegel Exerciser,$68.99,https://calexotics.comhttps://calexotics.com/calexotics-connect-kegel-exerciser/
Optimum Power® Pulsar Stroker,$201.99,https://calexotics.comhttps://calexotics.com/optimum-power-pulsar-stroker/
Lock-N-Play™ Remote Panty Teaser,$91.99,https://calexotics.comhttps://calexotics.com/lock-n-play-remote-panty-teaser/
Slay® #PleaseMe,$43.99,https://calexotics.comhttps://calexotics.com/slay-pleaseme/
Boundless® Silicone Pegging Kit,$39.99,https://calexotics.comhttps://calexotics.com/boundless-silicone-pegging-kit/
Dr. Laura Berman® Dilators™ Set Of 4 Locking Sizes Plus Sleeve,$44.99,https://calexotics.comhttps://calexotics.com/dr-laura-berman-dilators-set-of-4-locking-sizes-plus-sleeve/
Scandal® Bed Restraints,$79.99,https://calexotics.comhttps://calexotics.com/scandal-bed-restraints/
